iso3,year,energy_per_capita,co2,co2_per_capita,life_expectancy,gdp_per_capita,gini,night_lights,electricity_access_pct,life_exp_female,life_exp_male
ANT,2010,259121.891,,,,,,,,,
ANT,2015,,,,,,,,,,
ANT,2020,,,,,,,,,,
ARB,2001,,,,,,,,81.35479427,69.16099347,65.43999586
ARB,2005,,,,,,,,83.07676745,70.21297936,66.05879417
ARB,2010,,,,,,,,86.92150259,71.68589887,68.08671636
ARB,2015,,,,,,,,88.66164314,72.81917461,68.74614118
ARB,2020,,,,,,,,90.24177697,72.9544177,68.74608262
ARE,2001,145443.625,101.896,27.365,77.6207,88045.195,,,100.0,79.343,76.768
ARE,2005,151047.375,115.273,24.711,80.779,89986.13,,,100.0,82.222,80.035
